Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,Core Class?
geosrs:BraunPerspectiveProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Braun Perspective Projection,,,,geocrs:BraunPerspectiveProjection,,,Extension
geosrs:BraunStereographicProjection,geosrs:CylindricalStereographicProjection,,Cylindrical Projections,Braun Stereographic Projection,,,,geocrs:BraunStereographicProjection,,,Extension
geosrs:BreusingGeometricProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Breusing Geometric Projection,,,,geocrs:BreusingGeometricProjection,,,Extension
geosrs:BreusingHarmonicProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Breusing Harmonic Projection,,,,geocrs:BreusingHarmonicProjection,,,Extension
geosrs:BriesemeisterProjection,geosrs:LenticularProjection,,Lenticular Projections,Briesemeister Projection,,,,geocrs:BriesemeisterProjection,,,Extension
geosrs:BromleyProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Bromley Projection,,,,geocrs:BromleyProjection,,,Extension
geosrs:CabotProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Cabot Projection,,,,geocrs:CabotProjection,,,Extension
geosrs:CahillKeyesProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Cahill Keyes Projection,,,,geocrs:CahillKeyesProjection,,,Extension
geosrs:CassiniProjection,geosrs:EquidistantProjection,,Equidistant Projections,Cassini Projection,A map projection first described in an approximate form by César-François Cassini de Thury in 1745,,,geocrs:CassiniProjection,,cass,Extension
geosrs:CentralConicProjection,geosrs:ConicalProjection,,Conical Projections,Central Conic Projection,,,,geocrs:CentralConicProjection,,,Extension
geosrs:CentralCylindricalProjection,geosrs:PerspectiveProjection,,Perspective Projections,Central Cylindrical Projection,,,,geocrs:CentralCylindricalProjection,,,Extension
geosrs:ChamberlinTrimetricProjection,geosrs:CompromiseProjection,,Compromise Projections,Chamberlin Trimetric Projection,,,,geocrs:ChamberlinTrimetricProjection,,,Extension
geosrs:CiricIProjection,geosrs:LenticularProjection,,Lenticular Projections,Ciric I Projection,,,,geocrs:CiricIProjection,,,Extension
geosrs:CollignonButterflyProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Collignon Butterfly Projection,,,,geocrs:CollignonButterflyProjection,,,Extension
geosrs:CollignonProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Collignon Projection,An equal-area pseudocylindrical projection that maps the sphere onto a triangle or diamond,,,geocrs:CollignonProjection,,collg,Extension
geosrs:ColombiaUrbanProjection,,,,Colombia Urban Projection,,,,geocrs:ColombiaUrbanProjection,,col_urban,Extension
geosrs:CompactMillerProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Compact Miller Projection,,,,geocrs:CompactMillerProjection,,,Extension
geosrs:CompromiseProjection,,,,Compromise Projection,,,,geocrs:CompromiseProjection,,,Extension
geosrs:ConformalProjection,,,,Conformal Projection,,,,geocrs:ConformalProjection,,,Extension
geosrs:ConicalProjection,,,,Conical Projection,,,,geocrs:ConicalProjection,,,Extension
geosrs:CordiformProjection,,,,Cordiform Projection,,,,geocrs:CordiformProjection,,,Extension
geosrs:CoxConformalProjection,geosrs:ConformalProjection,,Conformal Projections,Cox Conformal Projection,,,,geocrs:CoxConformalProjection,,,Extension
geosrs:CraigRetroazimuthalProjection,geosrs:RetroazimuthalProjection,,,Craig Retroazimuthal Projection,,,,geocrs:CraigRetroazimuthalProjection,,,Extension
geosrs:CrasterParabolicProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Craster Parabolic Projection,,,,geocrs:CrasterParabolicProjection,,,Extension
geosrs:CupolaProjection,geosrs:LenticularProjection,,Lenticular Projections,Cupola Projection,,,,geocrs:CupolaProjection,,,Extension
geosrs:CylindricalEqualArea,geosrs:EqualAreaProjection,,Equal Area Projections,Cylindrical Equal Area Projection,,,,geocrs:CylindricalEqualArea,,cea,Extension
geosrs:CylindricalProjection,,,Cylindrical Projections,Cylindrical Projection,,,,geocrs:CylindricalProjection,,,Extension
geosrs:CylindricalStereographicProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Cylindrical Stereographic Projection,,,,geocrs:CylindricalStereographicProjection,,,Extension
geosrs:DeakinMinimumErrorProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Deakin Minimum Error Projection,,,,geocrs:DeakinMinimumErrorProjection,,,Extension
geosrs:DedistortProjection,geosrs:LenticularProjection,,Lenticular Projections,Dedistort Projection,,,,geocrs:DedistortProjection,,,Extension
geosrs:DenoyerSemiEllipticalProjection,geosrs:CompromiseProjection,,Compromise Projections,Denoyer Semi Elliptical Projection,,,,geocrs:DenoyerSemiEllipticalProjection,,,Extension
geosrs:DietrichKitadaProjection,geosrs:LenticularProjection,,Lenticular Projections,Dietrich Kitada Projection,,,,geocrs:DietrichKitadaProjection,,,Extension
geosrs:DodecahedralProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Dodecahedral Projection,,,,geocrs:DodecahedralProjection,,,Extension
geosrs:DymaxionProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Dymaxion Projection,,,,geocrs:DymaxionProjection,,,Extension
geosrs:Eckert1Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 1 Projection,,,,geocrs:Eckert1Projection,,,Extension
geosrs:Eckert2Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 2 Projection,,,,geocrs:Eckert2Projection,,,Extension
geosrs:Eckert3Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 3 Projection,,,,geocrs:Eckert3Projection,,,Extension
geosrs:Eckert4Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 4 Projection,,,,geocrs:Eckert4Projection,,,Extension
geosrs:Eckert5Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 5 Projection,,,,geocrs:Eckert5Projection,,,Extension
geosrs:Eckert6Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Eckert 6 Projection,,,,geocrs:Eckert6Projection,,,Extension
geosrs:EisenlohrProjection,geosrs:ConformalProjection,,Conformal Projections,Eisenlohr Projection,,,,geocrs:EisenlohrProjection,,,Extension
geosrs:EqualAreaProjection,,,Equal Area Projections,Equal Area Projection,,,,geocrs:EqualAreaProjection,,,Extension
geosrs:EqualEarthProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Equal Earth Projection,,,,geocrs:EqualEarthProjection,,eqearth,Extension
geosrs:EquallySpacedParallelsProjection,,,,Equally-Spaced Parallels Projection,,,,geocrs:EquallySpacedParallelsProjection,,,Extension
geosrs:EquidistantConicProjection,geosrs:EquidistantProjection,,Equidistant Projections,Equidistant Conic Projection,,,,geocrs:EquidistantConicProjection,,eqdc,Extension
geosrs:EquidistantCylindricalProjection,geosrs:EquidistantProjection,,Equidistant Projections,Equidistant Cylindrical Projection,,,,geocrs:EquidistantCylindricalProjection,,,Extension
geosrs:EquidistantProjection,,,Equidistant Projections,Equidistant Projection,,,,geocrs:EquidistantProjection,,,Extension
geosrs:EquirectangularProjection,geosrs:EquidistantProjection,,Equidistant Projections,Equirectangular Projection,,,,geocrs:EquirectangularProjection,,,Extension
geosrs:FaheyProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Fahey Projection,,,,geocrs:FaheyProjection,,,Extension
geosrs:FairgrieveProjection,geosrs:CompromiseProjection,,Compromise Projections,Fairgrieve Projection,,,,geocrs:FairgrieveProjection,,,Extension
geosrs:FoucautProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Foucaut Projection,,,,geocrs:FoucautProjection,,,Extension
geosrs:FoucautSinusoidalProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Foucaut Sinusoidal Projection,,,,geocrs:FoucautSinusoidalProjection,,,Extension
geosrs:FournierGlobularIProjection,geosrs:GlobularProjection,,Globular Projections,Fournier Globular I Projection,,,,geocrs:FournierGlobularIProjection,,,Extension
geosrs:FournierIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Fournier II Projection,,,,geocrs:FournierIIProjection,,,Extension
geosrs:FranculaIIIProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula III Projection,,,,geocrs:FranculaIIIProjection,,,Extension
geosrs:FranculaIVProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula IV Projection,,,,geocrs:FranculaIVProjection,,,Extension
geosrs:FranculaIXProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula IX Projection,,,,geocrs:FranculaIXProjection,,,Extension
geosrs:FranculaVIIIProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula VIII Projection,,,,geocrs:FranculaVIIIProjection,,,Extension
geosrs:FranculaVProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula V Projection,,,,geocrs:FranculaVProjection,,,Extension
geosrs:FranculaXIIIProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula XIII Projection,,,,geocrs:FranculaXIIIProjection,,,Extension
geosrs:FranculaXIIProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula XII Projection,,,,geocrs:FranculaXIIProjection,,,Extension
geosrs:FranculaXIVProjection,geosrs:LenticularProjection,,Lenticular Projections,Francula XIV Projection,,,,geocrs:FranculaXIVProjection,,,Extension
geosrs:GS50Projection,geosrs:ConformalProjection,,Conformal Projections,GS50 Projection,,,,geocrs:GS50Projection,,,Extension
geosrs:GallIsographicProjection,,,,Gall Isographic Projection,,,,geocrs:GallIsographicProjection,,,Extension
geosrs:GallPetersProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Gall Peters Projection,,,,geocrs:GallPetersProjection,,,Extension
geosrs:GallStereographicProjection,geosrs:StereographicProjection,,Stereographic Projections,Gall Stereographic Projection,,,,geocrs:GallStereographicProjection,,,Extension
geosrs:GaussKruegerProjection,geosrs:TransverseMercatorProjection,,,Gauss Krueger Projection,,,,geocrs:GaussKruegerProjection,,,Extension
geosrs:GeneralVerticalPerspectiveProjection,geosrs:PerspectiveProjection,,Perspective Projections,General Vertical Perspective Projection,,,,geocrs:GeneralVerticalPerspectiveProjection,,,Extension
geosrs:GilbertTwoWorldPerspectiveProjection,geosrs:PerspectiveProjection,,Perspective Projections,Gilbert Two World Perspective Projection,,,,geocrs:GilbertTwoWorldPerspectiveProjection,,,Extension
geosrs:GingeryProjection,,,,Gingery Projection,,,,geocrs:GingeryProjection,,,Extension
geosrs:GinzburgIIProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Ginzburg II Projection,,,,geocrs:GinzburgIIProjection,,,Extension
geosrs:GinzburgIProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Ginzburg I Projection,,,,geocrs:GinzburgIProjection,,,Extension
geosrs:GinzburgIVProjection,geosrs:PolyconicProjection,,Polyconic Projections,Ginzburg IV Projection,,,,geocrs:GinzburgIVProjection,,,Extension
geosrs:GinzburgIXProjection,geosrs:PolyconicProjection,,Polyconic Projections,Ginzburg IX Projection,,,,geocrs:GinzburgIXProjection,,,Extension
geosrs:GinzburgVIIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Ginzburg VIII Projection,,,,geocrs:GinzburgVIIIProjection,,,Extension
geosrs:GinzburgVIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Ginzburg VI Projection,,,,geocrs:GinzburgVIProjection,,,Extension
geosrs:GinzburgVProjection,geosrs:PolyconicProjection,,Polyconic Projections,Ginzburg V Projection,,,,geocrs:GinzburgVProjection,,,Extension
geosrs:GlobularProjection,,,,Globular Projection,,,,geocrs:GlobularProjection,,,Extension
geosrs:GnomonicButterflyProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Gnomonic Butterfly Projection,,,,geocrs:GnomonicButterflyProjection,,,Extension
geosrs:GnomonicCubedSphereProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Gnomonic Cubed Sphere Projection,,,,geocrs:GnomonicCubedSphereProjection,,,Extension
geosrs:GnomonicIcosahedronProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Gnomonic Icosahedron Projection,,,,geocrs:GnomonicIcosahedronProjection,,,Extension
geosrs:GnomonicProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Gnomonic Projection,,,,geocrs:GnomonicProjection,,gnom,Extension
geosrs:GoodeHomolosineProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Goode Homolosine Projection,,,,geocrs:GoodeHomolosineProjection,,,Extension
geosrs:GottWagnerProjection,geosrs:PolyconicProjection,,Polyconic Projections,Gott-Wagner Projection,,,,geocrs:GottWagnerProjection,,,Extension
geosrs:GringortenProjection,geosrs:ConformalProjection geosrs:EqualAreaProjection,,,Gringorten Projection,,,,geocrs:GringortenProjection,,,Extension
geosrs:GringortenQuincuncialProjection,,,,Gringorten Quincuncial Projection,,,,geocrs:GringortenQuincuncialProjection,,,Extension
geosrs:GuyouProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Guyou Projection,,,,geocrs:GuyouProjection,,,Extension
geosrs:HEALPixProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,HEALPix Projection,,,,geocrs:HEALPixProjection,,,Extension
geosrs:HammerProjection,geosrs:PseudoAzimuthalProjection,,Pseudo Azimuthal Projections,Hammer Projection,,,,geocrs:HammerProjection,,,Extension
geosrs:HammerRetroazimuthalProjection,geosrs:RetroazimuthalProjection,,,Hammer Retroazimuthal Projection,,,,geocrs:HammerRetroazimuthalProjection,,,Extension
geosrs:HamusoidalProjection,geosrs:LenticularProjection,,Lenticular Projections,Hamusoidal Projection,,,,geocrs:HamusoidalProjection,,,Extension
geosrs:HatanoAsymmetricalEqualAreaProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Hatano Asymmetrical Equalarea Projection,,,,geocrs:HatanoAsymmetricalEqualAreaProjection,,,Extension
geosrs:HerschelConformalConicProjection,geosrs:ConicalProjection,,Conical Projections,Herschel Conformal Conic Projection,,,,geocrs:HerschelConformalConicProjection,,,Extension
geosrs:HillEucyclicProjection,geosrs:PolyconicProjection,,Polyconic Projections,Hill Eucyclic Projection,,,,geocrs:HillEucyclicProjection,,,Extension
geosrs:HoboDyerProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Hobo Dyer Projection,,,,geocrs:HoboDyerProjection,,,Extension
geosrs:HufnagelIIIProjection,,,,Hufnagel III Projection,,,,geocrs:HufnagelIIIProjection,,,Extension
geosrs:HufnagelIIProjection,,,,Hufnagel II Projection,,,,geocrs:HufnagelIIProjection,,,Extension
geosrs:HufnagelIProjection,,,,Hufnagel I Projection,,,,geocrs:HufnagelIProjection,,,Extension
geosrs:HufnagelIVProjection,,,,Hufnagel IV Projection,,,,geocrs:HufnagelIVProjection,,,Extension
geosrs:HufnagelIXProjection,,,,Hufnagel IX Projection,,,,geocrs:HufnagelIXProjection,,,Extension
geosrs:HufnagelProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Hufnagel Projection,,,,geocrs:HufnagelProjection,,,Extension
geosrs:HufnagelVIIIProjection,,,,Hufnagel VIII Projection,,,,geocrs:HufnagelVIIIProjection,,,Extension
geosrs:HufnagelVIIProjection,,,,Hufnagel VII Projection,,,,geocrs:HufnagelVIIProjection,,,Extension
geosrs:HufnagelVIProjection,,,,Hufnagel VI Projection,,,,geocrs:HufnagelVIProjection,,,Extension
geosrs:HufnagelVProjection,,,,Hufnagel IV Projection,,,,geocrs:HufnagelVProjection,,,Extension
geosrs:HufnagelXIIProjection,,,,Hufnagel XII Projection,,,,geocrs:HufnagelXIIProjection,,,Extension
geosrs:HufnagelXIProjection,,,,Hufnagel XI Projection,,,,geocrs:HufnagelXIProjection,,,Extension
geosrs:HufnagelXProjection,,,,Hufnagel X Projection,,,,geocrs:HufnagelXProjection,,,Extension
geosrs:IcosahedralProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Icosahedral Projection,,,,geocrs:IcosahedralProjection,,,Extension
geosrs:InterruptedGoodeHomolosineOceanicViewProjection,,,,Interrupted Goode Homolosine Oceanic View Projection,,,,geocrs:InterruptedGoodeHomolosineOceanicViewProjection,,,Extension
geosrs:InterruptedGoodeHomolosineProjection,,,,Interrupted Goode Homolosine Projection,,,,geocrs:InterruptedGoodeHomolosineProjection,,,Extension
geosrs:InterruptedQuarticAuthalicProjection,geosrs:QuarticAuthalicProjection,,,Interrupted Quartic Authalic Projection,,,,geocrs:InterruptedQuarticAuthalicProjection,,,Extension
geosrs:JamesAzimuthalProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,James Azimuthal Projection,,,,geocrs:JamesAzimuthalProjection,,,Extension
geosrs:KamenetskiyIProjection,geosrs:GallStereographicProjection,,,Kamenetskiy I Projection,,,,geocrs:KamenetskiyIProjection,,,Extension
geosrs:KarchenkoShabanovaProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Karchenko Shabanova Projection,,,,geocrs:KarchenkoShabanovaProjection,,,Extension
geosrs:Kavrayskiy7Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Kavrayskiy 7 Projection,,,,geocrs:Kavrayskiy7Projection,,,Extension
geosrs:KissProjection,geosrs:LenticularProjection,,Lenticular Projections,Kiss Projection,,,,geocrs:KissProjection,,,Extension
