Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,Core Class?
geosrs:ObliqueMercatorProjection,geosrs:ObliqueProjection,,,Oblique Mercator Projection,,,,geocrs:ObliqueMercatorProjection,,omerc,Extension
geosrs:ObliquePlateCarreeProjection,geosrs:EquidistantProjection,,Equidistant Projections,Oblique Plate Carree Projection,,,,geocrs:ObliquePlateCarreeProjection,,,Extension
geosrs:ObliqueProjection,,,,Oblique Projection,,,,geocrs:ObliqueProjection,,,Extension
geosrs:ObliqueStereographicProjection,geosrs:ObliqueProjection,,,Oblique Stereographic Projection,,,,geocrs:ObliqueStereographicProjection,,sterea,Extension
geosrs:OctantProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Octant Projection,,,,geocrs:OctantProjection,,,Extension
geosrs:OrteliusOvalProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Ortelius Oval Projection,,,,geocrs:OrteliusOvalProjection,,,Extension
geosrs:OrthographicProjection,geosrs:PerspectiveProjection,,Perspective Projections,Orthographic Projection,,,,geocrs:OrthographicProjection,,ortho,Extension
geosrs:OvalProjection,,,,Oval Projection,,,,geocrs:OvalProjection,,,Extension
geosrs:PattersonCylindricalProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Patterson Cylindrical Projection,,,,geocrs:PattersonCylindricalProjection,,,Extension
geosrs:PavlovProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Pavlov Projection,,,,geocrs:PavlovProjection,,,Extension
geosrs:PeirceQuincuncialProjection,geosrs:ConformalProjection,,Conformal Projections,Peirce Quincuncial Projection,,,,geocrs:PeirceQuincuncialProjection,,,Extension
geosrs:PerspectiveConicProjection,geosrs:PerspectiveProjection,,Perspective Projections,Perspective Conic Projection,,,,geocrs:PerspectiveConicProjection,,,Extension
geosrs:PerspectiveProjection,,,Perspective Projections,Perspective Projection,,,,geocrs:PerspectiveProjection,,,Extension
geosrs:PetermannStarProjection,geosrs:CompromiseProjection,,Compromise Projections,Petermann Star Projection,,,,geocrs:PetermannStarProjection,,,Extension
geosrs:PlateCarreeProjection,geosrs:EquidistantProjection,,Equidistant Projections,Plate Carree Projection,,,,geocrs:PlateCarreeProjection,,,Extension
geosrs:PoleLineProjection,,,,Pole Line Projection,,,,geocrs:PoleLineProjection,,,Extension
geosrs:PolyconicProjection,,,Polyconic Projections,Polyconic Projection,,,,geocrs:PolyconicProjection,,,Extension
geosrs:PolyhedralProjection,,,Polyhedral Projections,Polyhedral Projection,,,,geocrs:PolyhedralProjection,,,Extension
geosrs:Projection,geosrs:Conversion,,Projection,Projection,,,,geocrs:Projection,,,Extension
geosrs:PseudoAzimuthalProjection,,,Pseudo Azimuthal Projections,Pseudo-Azimuthal Projection,,,,geocrs:PseudoAzimuthalProjection,,,Extension
geosrs:PseudoConicalProjection,,,Pseudo Conical Projections,Pseudo-Conical Projection,,,,geocrs:PseudoConicalProjection,,,Extension
geosrs:PseudoCylindricalProjection,,,Pseudo Cylindrical Projections,Pseudo-Cylindrical Projection,,,,geocrs:PseudoCylindricalProjection,,,Extension
geosrs:PseudoOrthographicProjection,,,,Pseudo-Orthographic Projection,,,,geocrs:PseudoOrthographicProjection,,,Extension
geosrs:PtolemyIIProjection,geosrs:PseudoConicalProjection,,Pseudo Conical Projections,Ptolemy II Projection,,,,geocrs:PtolemyIIProjection,,,Extension
geosrs:PtolemyIProjection,geosrs:ArchaicProjection,,Archaic Projections,Ptolemy I Projection,,,,geocrs:PtolemyIProjection,,,Extension
geosrs:PutninsP1Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Putnins P1 Projection,,,,geocrs:PutninsP1Projection,,,Extension
geosrs:PutninsP2Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Putnins P2 Projection,,,,geocrs:PutninsP2Projection,,,Extension
geosrs:PutninsP3Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Putnins P3 Projection,,,,geocrs:PutninsP3Projection,,,Extension
geosrs:PutninsP5Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Putnins P5 Projection,,,,geocrs:PutninsP5Projection,,,Extension
geosrs:PutninsP6Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Putnins P6 Projection,,,,geocrs:PutninsP6Projection,,,Extension
geosrs:QuadrilateralizedSphericalCubeProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Quadrilateralized Spherical Cube Projection,,,,geocrs:QuadrilateralizedSphericalCubeProjection,,,Extension
geosrs:QuarticAuthalicProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Quartic Authalic Projection,,,,geocrs:QuarticAuthalicProjection,,,Extension
